time	V(A,N016)	I(L1)
7.966445792693747e-04	8.175659e-01	-2.160497e-02
7.966455792693741e-04	8.175659e-01	-2.160487e-02
7.966465792693736e-04	8.175659e-01	-2.160477e-02
7.966475792693731e-04	8.175659e-01	-2.160466e-02
7.966485792693725e-04	8.175659e-01	-2.160456e-02
7.966495792693720e-04	8.175659e-01	-2.160446e-02
7.966505792693715e-04	8.175659e-01	-2.160435e-02
7.966515792693710e-04	8.175354e-01	-2.160425e-02
7.966525792693704e-04	8.175354e-01	-2.160415e-02
7.966535792693699e-04	8.175354e-01	-2.160404e-02
7.966545792693694e-04	8.175354e-01	-2.160394e-02
7.966555792693689e-04	8.175354e-01	-2.160384e-02
7.966565792693683e-04	8.175354e-01	-2.160373e-02
7.966575792693678e-04	8.175354e-01	-2.160363e-02
7.966585792693673e-04	8.175354e-01	-2.160353e-02
7.966600327314402e-04	8.175354e-01	-2.160338e-02
7.966623950776061e-04	8.175354e-01	-2.160313e-02
7.966661341310202e-04	8.175354e-01	-2.160275e-02
7.966701213535654e-04	8.175354e-01	-2.160233e-02
7.966780957986593e-04	8.175354e-01	-2.160151e-02
7.966828289089588e-04	8.175049e-01	-2.160102e-02
7.966922951295544e-04	8.175049e-01	-2.160004e-02
7.966945986331783e-04	8.175354e-01	-2.159980e-02
7.966957847777081e-04	8.175964e-01	-2.159968e-02
7.966964070987431e-04	8.176880e-01	-2.159962e-02
7.966969734551563e-04	8.178101e-01	-2.159956e-02
7.966976007872419e-04	8.180542e-01	-2.159949e-02
