time	V(vds)	V(vgs)	Id(M1)
1.679620631470824e-005	5.280801e+000	4.159722e+000	5.021183e-002
1.679714267848981e-005	5.255856e+000	4.154071e+000	4.861139e-002
1.679801014106343e-005	5.236814e+000	4.151550e+000	4.792237e-002
1.679948045068401e-005	5.208616e+000	4.149951e+000	4.747905e-002
1.680095208465287e-005	5.182086e+000	4.149365e+000	4.728087e-002
1.680387385949183e-005	5.131118e+000	4.148989e+000	4.710750e-002
1.680681103856544e-005	5.080951e+000	4.148773e+000	4.698358e-002
1.681268539671267e-005	4.983193e+000	4.148449e+000	4.679435e-002
1.681994693888825e-005	4.867239e+000	4.148101e+000	4.659306e-002
1.683447002323942e-005	4.649980e+000	4.147507e+000	4.626606e-002
1.685411835172948e-005	4.383335e+000	4.146877e+000	4.593155e-002
1.688481325008983e-005	4.014801e+000	4.146251e+000	4.559124e-002
1.691827401833448e-005	3.660168e+000	4.145987e+000	4.539876e-002
1.696305924893434e-005	3.233757e+000	4.146126e+000	4.533805e-002
1.701924843032526e-005	2.735595e+000	4.146801e+000	4.546693e-002
1.710123106838898e-005	2.038657e+000	4.148468e+000	4.595630e-002
1.721860383861846e-005	1.060770e+000	4.151911e+000	4.710421e-002
1.732833975793146e-005	2.106294e-001	4.196407e+000	4.832914e-002
1.735815394564574e-005	6.479766e-002	4.267197e+000	4.863390e-002
1.737269059356832e-005	4.062059e-002	4.331210e+000	4.882775e-002
1.737946674975756e-005	3.622657e-002	4.363218e+000	4.892999e-002
1.738628220726435e-005	3.305275e-002	4.394321e+000	4.903856e-002
1.739125312932301e-005	3.117295e-002	4.416305e+000	4.911991e-002
1.739649022413723e-005	2.948022e-002	4.438704e+000	4.920391e-002
1.740143008041834e-005	2.812047e-002	4.459195e+000	4.928660e-002
1.740640789497213e-005	2.691402e-002	4.479139e+000	4.936809e-002
1.741209070632137e-005	2.573008e-002	4.501106e+000	4.946357e-002
1.741816420302045e-005	2.462502e-002	4.523612e+000	4.956464e-002
1.742573687691977e-005	2.345734e-002	4.550332e+000	4.969191e-002
1.743446834218807e-005	2.232453e-002	4.579315e+000	4.983860e-002
1.744620406881897e-005	2.108621e-002	4.615446e+000	5.003643e-002
1.745973093579308e-005	1.996225e-002	4.653125e+000	5.026487e-002
1.748067241051847e-005	1.865905e-002	4.704382e+000	5.061903e-002
1.750458263910144e-005	1.762754e-002	4.752769e+000	5.102396e-002
1.755240309626738e-005	1.636805e-002	4.826477e+000	5.183416e-002
1.761041223067012e-005	1.558997e-002	4.885912e+000	5.281693e-002
1.772643049947560e-005	1.515015e-002	4.948604e+000	5.478013e-002
1.789489817618925e-005	1.536975e-002	4.985804e+000	5.762406e-002
1.813232424088956e-005	1.624107e-002	4.999158e+000	6.161617e-002
1.844974520238419e-005	1.761005e-002	5.001571e+000	6.691750e-002
1.901844690885418e-005	2.009483e-002	5.001657e+000	7.629863e-002
2.001844690885418e-005	2.439361e-002	5.001643e+000	9.248644e-002
2.101844690885418e-005	2.860779e-002	5.001633e+000	1.083218e-001
2.150133000000000e-005	3.060657e-002	5.001630e+000	1.158186e-001
2.153556381770836e-005	3.074645e-002	5.001629e+000	1.163430e-001
2.160403145312507e-005	3.102458e-002	5.001628e+000	1.173851e-001
2.174096672395849e-005	3.157865e-002	5.001626e+000	1.194590e-001
2.201483726562533e-005	3.268615e-002	5.001626e+000	1.235837e-001
2.201583726562533e-005	3.268838e-002	5.001625e+000	1.236010e-001
2.201783726562533e-005	3.269332e-002	5.001622e+000	1.236344e-001
2.202183726562533e-005	3.271014e-002	5.001623e+000	1.236926e-001
2.202766431822506e-005	3.273316e-002	5.001623e+000	1.237807e-001
2.203931842342453e-005	3.277998e-002	5.001623e+000	1.239544e-001
2.206262663382348e-005	3.287307e-002	5.001622e+000	1.243033e-001
2.210691408508229e-005	3.304988e-002	5.001621e+000	1.249642e-001
2.219548898759992e-005	3.340246e-002	5.001620e+000	1.262827e-001
2.232418019496474e-005	3.391256e-002	5.001618e+000	1.281986e-001
2.232518019496474e-005	3.391691e-002	5.001618e+000	1.282107e-001
2.232718019496474e-005	3.392551e-002	5.001619e+000	1.282362e-001
2.233118019496473e-005	3.394116e-002	5.001619e+000	1.282974e-001
2.233918019496472e-005	3.397287e-002	5.001619e+000	1.284146e-001
2.235518019496471e-005	3.403610e-002	5.001618e+000	1.286516e-001
2.238718019496467e-005	3.416250e-002	5.001618e+000	1.291237e-001
2.243733000000008e-005	3.436054e-002	5.001618e+000	1.298577e-001
2.243833000000008e-005	3.436442e-002	5.001617e+000	1.298751e-001
2.244033000000007e-005	3.437220e-002	5.001617e+000	1.299088e-001
2.244433000000007e-005	3.438797e-002	5.001617e+000	1.299656e-001
2.245233000000006e-005	3.441948e-002	5.001617e+000	1.300843e-001
2.246833000000004e-005	3.448253e-002	5.001617e+000	1.303245e-001
2.246933000000004e-005	3.448644e-002	5.001617e+000	1.303369e-001
